destination_id,weather_risk_score,temperature_2m,precipitation,rain,wind_speed_10m,relative_humidity_2m,weather_status_short,collection_time
sam_son,18.63,30.3,0.0,0.0,13.8,82,Ổn định,21/05/2026 14:38
lang_co,10.83,30.6,0.3,0.1,5.8,86,Ổn định,21/05/2026 14:38
cu_lao_cham,41.0,27.3,0.0,0.0,26.4,90,Ổn định,21/05/2026 14:38
hoi_an,49.69,33.5,0.1,0.1,23.4,63,Ổn định,21/05/2026 14:38
tam_ky,35.8,33.6,0.3,0.2,11.7,61,Ổn định,21/05/2026 14:38
sa_huynh,40.86,31.9,0.0,0.0,25.6,66,Ổn định,21/05/2026 14:38
my_khe,38.3,33.3,0.1,0.1,16.0,62,Ổn định,21/05/2026 14:38
da_nang,38.3,33.3,0.1,0.1,16.0,62,Ổn định,21/05/2026 14:38
la_gi,17.69,30.8,0.0,0.0,13.1,69,Ổn định,21/05/2026 14:38
mui_ne,25.42,31.7,0.0,0.0,15.2,66,Ổn định,21/05/2026 14:38
phan_thiet,21.92,31.2,0.0,0.0,15.2,66,Ổn định,21/05/2026 14:38
ky_co,39.2,31.6,0.0,0.0,29.8,67,Ổn định,21/05/2026 14:38
quy_nhon,39.2,31.6,0.0,0.0,29.8,67,Ổn định,21/05/2026 14:38
binh_ba,54.48,34.0,0.0,0.0,24.8,53,Ổn định,21/05/2026 14:38
cam_ranh,56.58,34.3,0.0,0.0,24.8,53,Ổn định,21/05/2026 14:38
nha_trang,46.67,33.0,0.0,0.0,24.2,60,Ổn định,21/05/2026 14:38
phan_rang,54.16,34.9,0.0,0.0,19.9,49,Ổn định,21/05/2026 14:38
vinh_hy,32.72,32.3,0.0,0.0,17.5,61,Ổn định,21/05/2026 14:38
ghenh_da_dia,48.3,32.9,0.0,0.0,27.2,61,Ổn định,21/05/2026 14:38
tuy_hoa,53.78,33.9,0.0,0.0,24.8,52,Ổn định,21/05/2026 14:38
ha_tien,21.77,28.1,0.1,0.1,13.9,87,Ổn định,21/05/2026 14:38
cat_ba,16.29,28.1,0.0,0.0,9.4,88,Ổn định,21/05/2026 14:38
co_to,19.71,27.6,0.1,0.1,10.6,89,Ổn định,21/05/2026 14:38
ha_long,7.16,28.4,0.0,0.0,5.3,82,Ổn định,21/05/2026 14:38
tra_co,21.09,26.6,0.0,0.0,9.4,92,Ổn định,21/05/2026 14:38
ho_tram,17.01,30.5,0.0,0.0,12.6,72,Ổn định,21/05/2026 14:38
vung_tau,20.66,29.8,0.0,0.0,15.3,73,Ổn định,21/05/2026 14:38
can_gio,18.36,30.4,0.0,0.0,13.6,71,Ổn định,21/05/2026 14:38
hon_son,26.6,26.9,0.0,0.0,19.7,81,Ổn định,21/05/2026 14:38
nam_du,22.41,28.2,0.0,0.0,16.6,81,Ổn định,21/05/2026 14:38
phu_quoc,12.48,28.9,0.1,0.1,8.8,78,Ổn định,21/05/2026 14:38
ly_son,35.0,28.3,0.0,0.0,39.9,82,Gió mạnh,21/05/2026 14:38
con_dao,16.2,28.8,0.0,0.0,12.0,78,Ổn định,21/05/2026 14:38
bac_lieu,19.44,30.8,0.0,0.0,14.4,69,Ổn định,21/05/2026 14:38
ca_mau_dat_mui,17.82,29.4,0.0,0.0,13.2,75,Ổn định,21/05/2026 14:38
soc_trang,21.46,31.5,0.0,0.0,13.3,65,Ổn định,21/05/2026 14:38
tra_vinh,15.34,31.1,0.1,0.0,10.4,72,Ổn định,21/05/2026 14:38
do_son,16.74,29.0,0.0,0.0,12.4,83,Ổn định,21/05/2026 14:38
thinh_long,22.82,30.0,0.0,0.0,16.9,81,Ổn định,21/05/2026 14:38
